,# time passed,number of events,total number,average number
247,1860.0,217.0,58194.0,7759.2
248,1867.5,233.0,58427.0,7790.266666666666
249,1875.0,219.0,58646.0,7819.466666666666
250,1882.5,225.0,58871.0,7849.466666666666
251,1890.0,249.0,59120.0,7882.666666666667
252,1897.5,239.0,59359.0,7914.533333333334
253,1905.0,243.0,59602.0,7946.933333333333
254,1912.5,230.0,59832.0,7977.6
255,1920.0,216.0,60048.0,8006.4
256,1927.5,261.0,60309.0,8041.2
257,1935.0,244.0,60553.0,8073.733333333334
258,1942.5,235.0,60788.0,8105.066666666667
259,1950.0,244.0,61032.0,8137.6
260,1957.5,205.0,61237.0,8164.933333333333
261,1965.0,231.0,61468.0,8195.733333333334
262,1972.5,236.0,61704.0,8227.2
263,1980.0,214.0,61918.0,8255.733333333334
264,1987.5,225.0,62143.0,8285.733333333334
265,1995.0,247.0,62390.0,8318.666666666666
266,2002.5,243.0,62633.0,8351.066666666668
267,2010.0,231.0,62864.0,8381.866666666667
268,2017.5,220.0,63084.0,8411.2
269,2025.0,214.0,63298.0,8439.733333333334
270,2032.5,242.0,63540.0,8472.0
271,2040.0,236.0,63776.0,8503.466666666667
272,2047.5,250.0,64026.0,8536.8
273,2055.0,243.0,64269.0,8569.2
274,2062.5,172.0,64441.0,8592.133333333333
275,2070.0,230.0,64671.0,8622.8
276,2077.5,256.0,64927.0,8656.933333333332
277,2085.0,235.0,65162.0,8688.266666666666
278,2092.5,244.0,65406.0,8720.8
279,2100.0,256.0,65662.0,8754.933333333332
280,2107.5,231.0,65893.0,8785.733333333334
281,2115.0,233.0,66126.0,8816.8
282,2122.5,243.0,66369.0,8849.2
283,2130.0,237.0,66606.0,8880.8
284,2137.5,215.0,66821.0,8909.466666666667
285,2145.0,242.0,67063.0,8941.733333333334
286,2152.5,240.0,67303.0,8973.733333333334
287,2160.0,220.0,67523.0,9003.066666666668
288,2167.5,263.0,67786.0,9038.133333333333
289,2175.0,236.0,68022.0,9069.6
290,2182.5,231.0,68253.0,9100.4
291,2190.0,256.0,68509.0,9134.533333333333
292,2197.5,238.0,68747.0,9166.266666666666
293,2205.0,238.0,68985.0,9198.0
294,2212.5,230.0,69215.0,9228.666666666666
295,2220.0,219.0,69434.0,9257.866666666667
296,2227.5,229.0,69663.0,9288.4
297,2235.0,231.0,69894.0,9319.2
298,2242.5,211.0,70105.0,9347.333333333334
299,2250.0,233.0,70338.0,9378.4
300,2257.5,255.0,70593.0,9412.4
301,2265.0,243.0,70836.0,9444.8
302,2272.5,252.0,71088.0,9478.4
303,2280.0,237.0,71325.0,9510.0
304,2287.5,244.0,71569.0,9542.533333333333
305,2295.0,222.0,71791.0,9572.133333333333
